"year","H2a","H2b","H3a","H3b","H4","H5","H6","H7a","H7b","H7c","H7d","H8a","H8b","H9","H10a","H10b","H11","H12a","H12b","H13","H14","H15","H16","H17","H18","H19a","H19b","H20","H21a","H21b","H21c","H21d","H22","H24","H25","H26","H27a","H27b","H28","H29a","H29b","H29c","H29d","H30","H33","H34a","H34b","H35a","H35b","H35c","H35d","H36","H46a","H46b","H46c","H46d","H46e","H46f","H47a","H47b","H47c","H47d","H47e","H47f"
2000,379.641,114.641,25.94731,233.08281,169.2,59.2,809.84,-0.1429838,-0.174759,-0.0621743,0.0090976,0.2376832,0.3667369,-0.1345126,165.87,116.398,1019.56,-0.216371,-0.0151974,0.4511268,0.1862244,185.68,0.5836913,942.86,0.5836913,-0.265438,0.0691947,0.3124244,11.95029,23.08501,51.2084,292.764,151.035,0.662614,796.49,0.662614,-0.262905,0.1635036,0.371062,13.13089,25.03564,47.26662,319.0925,123.226,-0.444345,-0.0048049,-0.0977401,15.509918,26.50204,21.369546,239.2211,349.54,2.23082,1.667223,2.35187,4.74581,1.7905854,0.900367,0.21843,0.468103,0.367225,0.309042,0.524687,0.372482
2001,392.847,122.847,21.204915,112.5547,176.804,61.804,943.33,0.0391734,-0.03632674,0.1086008,0.1044025,0.3556318,0.510069,0.331175,176.03,122.6,1225.8,-0.01517993,0.1280602,0.5694048,0.624968,190.31,0.79262,1079.29,0.79262,-0.1179118,0.1910855,0.822548,10.393031,22.5749,65.45359,318.39,148.402,0.843813,911.96,0.843813,-0.18543,0.206301,0.771876,11.981258,28.12382,62.90545,380.9787,125.538,0.530551,-0.0202705,-0.10034269,13.52438,32.50675,18.300161,326.1474,332.29,2.50664,1.352899,1.5803336,4.12887,0.9498914,-0.2688715,0.127198,0.38986,0.271759,0.29492,0.436674,0.506509
2002,363.088,98.088,25.68002,222.33237,171.685,56.685,1022.26,0.0298357,-0.09604855,0.013999,0.0812772,0.359151,0.505942,0.7323103,176.88,119.817,1284.85,-0.0233854,0.1350847,0.713081,0.8605003,191.51,0.945009,1166.6,0.945009,-0.0823892,0.2548018,0.956127,17.02526,22.862243,104.819,331.1586,145.023,1.10266,1077.43,1.10266,-0.1322241,0.322307,1.64673,18.68532,32.0258,104.90883,463.912,126.992,0.3602141,0.01188498,-0.1137988,18.87186,33.7838,55.34201,388.76799,333.19,2.71752,1.5993679,1.82924,3.98253,1.1371445,-0.3665341,0.134525,0.319419,0.338469,0.291567,0.508553,0.510406
2003,371.687,106.687,32.03758,351.8813,173.45,63.45,1001.88,-0.0331115,0.0114955,-0.1546553,-0.1078884,-0.504345,-0.269694,-0.4907918,198.87,133.92,1268.62,-0.0020881,-0.0955984,-0.2750862,-0.2911157,215.94,0.085977,1149.64,0.085977,0.0239643,0.0428642,0.1547933,15.39152,27.39883,70.06694,274.0244,156.886,0.5768563,1038.56,0.5768563,-0.0470921,0.22634,1.1108638,17.80004,32.312445,79.42424,351.68197,130.88,0.660906,-0.0482026,-0.02236,20.09504,33.9922,41.07239,287.1937,345.43,2.47298,1.96736,3.045805,4.10465,1.342458,0.245991,0.202679,0.430731,0.440804,0.34474,0.644551,0.571619
2004,392.645,122.645,25.02645,140.3928,177.397,62.397,1010.03,0.0010221,-0.0415495,0.0034618,0.0361973,0.0391695,0.370079,-0.1847549,191.88,128.88,1225.62,-0.0384791,0.0411226,0.3710098,0.1156751,204.52,0.724301,1048.06,0.724301,-0.1014304,0.1411046,0.6252251,19.266989,24.3696,60.9337,278.094,154.2,0.87856,898.81,0.87856,-0.1406752,0.2009507,1.347967,19.93123,33.045,58.7172,393.626,130.171,0.947831,-0.069322,-0.000171600000000001,22.94589,32.52441,34.50011,276.46649,359.47,3.22676,2.58555,3.422915,4.99991,2.0863647,1.6009337,0.180129,0.429722,0.356571,0.284074,0.553153,0.382649
2005,399.809,134.809,24.748578,72.99787,182.543,67.543,991.5,0.1935984,0.0462542,-0.1198758,-0.1336835,-0.125397,0.0870152,-0.271411,208.45,144.43,1230.94,0.2089359,-0.0925743,0.0348889,0.176229,225.07,0.26758,1054.88,0.26758,0.1148644,0.012565,0.826629,16.18049,20.61527,51.75183,178.59634,167.44,0.7145525,931.83,0.7145525,0.0573968,0.2074459,1.44963,21.7889,29.170276,63.7584,265.7588,139.201,1.60149,-0.0518585,0.0397165,21.04356,31.10307,35.60431,235.74567,347.51,3.77621,3.101118,3.151428,4.49515,1.741311,1.1402034,0.182353,0.386108,0.315684,0.493937,0.363785,0.505235
2006,410.405,145.405,23.4262,97.9035,166.098,56.098,899.75,0.0604821,-0.0389268,-0.0667722,0.0736628,-0.253135,0.050616,0.204748,169.18,112.849,1124.51,-0.0313359,0.0861651,0.087682,0.500161,186.91,0.552092,1001.37,0.552092,-0.094605,0.334006,0.663786,11.751171,22.7694636,59.10881,214.0842,143.821,0.9731502,905.27,0.9731502,-0.179842,0.376808,1.11576,14.782451,25.713936,56.1384,246.4727,129.621,0.8132957,-0.0647429,-0.05701459,19.273301,31.61197,26.71377,256.283,356.7,1.91584,2.12985,3.048897,4.5531,1.938151,0.578979,0.195455,0.444048,0.621454,0.30698,0.509812,0.556515
2007,410.65,140.65,36.91795,245.6171,173.916,63.916,1117.69,0.0788903,0.0096763,0.0703006,0.097242,0.0787692,0.24583,-0.328564,185.25,127.55,1452.67,0.0717116,0.2020669,0.2754642,-0.022944,207.05,0.586678,1241.04,0.586678,-0.0101959,0.2862497,0.55057,18.816216,28.88228,99.04102,417.059,154.358,0.969514,1064.03,0.969514,-0.0850556,0.444055,1.422136,19.110316,31.69071,95.27612,474.395,127.586,1.3811413,-0.0694798,-0.0185004,21.720896,31.03252,47.98603,295.0438,340.68,2.37413,1.0335688,1.270856,3.92733,1.1512951,0.0721207,0.138499,0.423505,0.239388,0.33705,0.44232,0.481339
2008,396.741,126.741,23.71607,169.61604,173.168,58.168,1096.11,0.0619454,-0.0405195,-0.2187938,-0.0601779,0.067351,0.2773475,-0.3146616,172.97,121.055,1374.89,0.0381645,-0.035908,0.2647386,-0.0955216,190.24,0.636486,1240.78,0.636486,-0.0352693,0.2297657,0.463555,20.32735,34.72223,142.4184,633.837,145.793,1.0269549,1091.38,1.0269549,-0.0381479,0.3597432,1.434445,21.71699,38.72665,136.94308,725.043,124.613,0.2693945,-0.02855,-0.10948313,17.17273,29.96779,46.94282,419.81591,354.77,1.6336995,0.537962,0.86551,4.63097,1.545809,-0.360395,0.190387,0.4425,0.291865,0.375911,0.634972,0.641326
2009,370.018,105.018,27.07123,320.87169,172.382,62.382,1009,-0.0450856,-0.0913779,0.090169,0.1357764,0.447095,0.620205,0.060267,174.48,123.61,1310.12,-0.0439611,0.1407459,0.623622,0.429231,197.36,0.826355,1163.62,0.826355,-0.0479428,0.2446154,0.853848,12.958896,20.82422,73.16004,343.8019,154.324,0.887551,1002,0.887551,-0.061135,0.3291668,1.242023,15.486766,25.56964,73.7909,405.8244,133.623,0.2128324,0.0010354,0.003177,16.304236,24.38287,27.94199,212.52227,352.26,2.87094,1.466471,1.415043,4.55964,1.981311,0.7042911,0.158831,0.516699,0.36143,0.286036,0.431207,0.483295
2010,376.762,106.762,21.8102686,229.386785,175.129,65.129,1157.57,0.0529112,0.0459871,-0.1366426,-0.0719575,-0.307053,-0.058587,-0.26427,201.23,140.46,1484.91,0.1288567,0.0459567,-0.2557215,0.014707,230.63,0.202078,1327.18,0.202078,0.12724856,0.24117,0.838052,17.96349,26.7246,80.3694,313.1555,165.508,0.737704,1108.36,0.737704,0.0397798,0.466678,1.554266,19.20883,34.0133,96.2909,447.396,127.996,1.8273383,0.0113594,0.0160464,20.311428,31.63907,74.578805,432.23054,305.69,3.56828,3.3778232,4.76447,3.95306,1.188233,0.079139,0.256853,0.500484,0.644253,0.341283,0.627276,0.535117
